dept,rev
2,"this case is not worth the money. the first problem was with the screw that hold the belt clip would not stay in the case. i glued that in place. then the clip would not hold onto the case. then the belt clip broke. the last thing was that slide that holds the palm in the case broke. i would not recommend this case to anyone and would like to warn anyone that might want to try it. look elsewhere!!!
"
2,"i purchased the pulsar 590a 2 months ago. it is a terrific product. the sound is great. i purchased it to simultaneously connect to my ipod and blackberry pearl phone while walking. again, i could not be more satisfied.in addition, plantronics support is amazing. i asked them for the cost to just replace the adapter. i thought i broke it. they said it should be almost impossible to break with normal use. i got another pulsar 590a headset and adapter without cost to me in less than a week.the unit is small and folds into a nice looking case. the light is no big deal. very nice looking headphones. i do not understand anyone negatively reviewing this product.
"
2,"let me start off by saying that this is my 4th cell phone in 5 years, and this by far is the best phone i've ever owned. phone is so ergonimically correct, and its touch wheel (similiar to that of the ipod) and buttons surrounding the wheel (also touch sensitive) work flawlessly and are amazing. you can set different sensitivity levels for the touch bad and buttons which is awesome. the feature that i enjoy most about this phone is the bluetooth. i purchased a platronics voyager 510 (works flawlessly up to its advertised 30ft range) along with the phone and the two pieces of hardware are a match made in heaven. you can add a multitude of contact information to each phone number saved in your phone (email, fax, home, cell, work, picture, custom ringer -phone call, custom ringer -txt msg, place contacts into a group) and the screen display is top notch as well.some cons, the buttons along the side of the phone are a bit hard to press as they are indented into the phone as to prevent them from being pressed by mistake. would of been nice of lg had put some single, double, triple tick marks on the buttons so that you could at least become familiar with the feel and function of the button. the latch for the charger and for the usb hookup seem a bit flimsy and i believe will ultimately break prematurely.last thing, i didn't know that vcast only worked in certain areas. if you're not in verizons ed-vo area of coverage then you cannot use the feature. i'm in santa barbara and i get no coverage, checked for other local cities...ventura, santa maria, thousand oaks and they are not covered either. however, pasadena and los angeles are covered...not sure if that helps anyone but thought i'd through it out their.
"
2,"it's cheap, eforcity delivers quickly, however, may not actually be oem. all of the oem chargers i've seen (model number syn0847) has glowing stylized ""m"" motorola logo. this item, however, does not; it only has a small blue led underneath the ""m"" that glows when it's plugged in. all of the other labeling on the charger looks authentic motorola. maybe a really good knockoff? anyway, does the job just fine (see title), and, again, it beats paying $20 at cingular.
"
2,"kyocera make the worst phone in the world. don't touch it, otherwise i am sure you will regret as i did. i really admire those kyocera people who can make phones so bad.
"
2,"don't buy this phone ever. i had it for just over six months and now it's having problems from last 3 months... drop calls whenever it wants..:) now, popping up orange pixels on screen and seems like dead or burnt pixels and it's growing day by day.. i called t-mobile customer service and they are sending the replacement because it is under warranty.. what if it wasn't? do the math.. they also charged me shipping for sending replacement. ridiculous, isn't it????i am rating it 1 because that is the lowest score you can select here.. it's &lt; -infinity
"
2,"some quick commentsfirst dont get the verizon car charger. mine had a tag on the cord which indicated that it must be disconnected after the phone is charged. maybe to prevent battery overcharging? useless for me on long trips! verizon charger was over $30.00. at staples a motorola charge which can be left connected was less than $16.00.i use a palm pilot alot and can dial via bluetooth phone numbers on other cell phones. this does not work on v3m. also simple sending of contact information did not work. a quick look for software to connect v3m to outlook or the palm for daily schedules resulted in nothing. to connect the v3m to pc via usb appears to require a $30.00 package from verizon.the v3m does not have a standard wired hands free connector on the phone. i did get a ""converter"" which i have not tested but even if it does the phone does not support both the charger and wired hands free at the same time. the converter may only be for headphones but even if it works with headphones it another thing to carry around or lose.voice dialing does work great and speaker phone is good.
"
2,"these work to charge your phone, but the casing around part that plugs into the phone is slightly wide, causing the plug to fall out of the phone easily. this is especially aggravating with the car charger. i think it's worth the money to get the better fitting items from samsung.also - why does samsung change the plug in each phone model? the blackjack 1 and blackjack 2 do not use interchangeable plugs and my wife's samsung flipphone uses a completely different connection. are they trying to make money on peripherals and chargers?
"
1,"great fabric and tight fit. problem is that if you are over 6ft tall, then all under armour products will be too short in the torso. this company does not listen to the customer.
"
1,"thought the product worked great... only problem had was first time was too small...second was that not happy with cost to ship...way overpriced
"
1,"great fabric and tight fit. problem is that if you are over 6ft tall, then all under armour products will be too short in the torso. this company does not listen to the customer.
"
1,"i bought a pair in maroon and they were a little short but fine. the problem was that they started coming apart at the seams after 2 months. will definitely be looking to a different company for a replacement pair.
"
2,"this thing is a game changer!! my stomach looks like it did in high school/ long before 3 csections when i wear it!!! i just wish i had bought it right after childbirth!! i don't know where it's pushing my fat to, and i don't really care!!!
"
1,"i have bought dockers for years but these are cut smaller than they usually are. even with the ""stretch"" waist band they are tight. so much for an ""extra"" inch. beware. try these in a store before you buy.
"
2,"i initially purchased this phone through verizon: a brand new razr. it looked nice, but the battery on the phone was worthless. every night i had to recharge the phone. even when i did not use the phone all day, i still had to charge the phone at night. same thing happened after exchanging the battery. i tried three different batteries, but same result. maybe i had a defective phone, but that did not matter to me. i simply exchanged the phone after seven days to another model. i would not get this phone if i were you. hope this helped.
"
2,"i'm in the middle of my pregnancy, so i really need a car charger!amazon's description said this model was compatible with my nokia6102 flip cell phone, but it isn't it has the standard regular size tip for charging, which would work with most nokia cell phones prior to the nokia 6102 flip phone! the nokia 6102 flip cell phone has a new smaller charger end, so with all due respect might i suggest that someone grab a nokia 6102 flip cell phone, and the above car charger to see that they are ""not"" compatible, to help prevent this in the future! because i am still pregnant and i still need a car charger, for my nokia 6102 cell phone!i due honestly appreciate the fact that amazon at least paid for the return shipping, since the charger wasn't compatible!
"
1,"shirts of average quality...worth about what i paid for them, $10.00.....built in collar stays...
"
2,"this bluetooth lets in a lot of outside noise. if there is anything going on in the background, the other person is going to hear it. tv's or radio's, road noise. almost anything. i would suggest a different unit.
"
2,"i wrote a review before, it was great. how things change the ear piece fell apart and now the headset is useless. i adjusted the rating downward. beware.*****original review follows******this model is far superior to the ericsson hand-free model. i used the ericsson hands-free and i was always straining to hear. with the body glove model i have no problem hearing or others hearing me.also the ericsson model has nothing to hold the earpiece you must shove it down your ear canal. not good hygiene.must have especially now as it is illegal to drive with a cellular phone in hand in ny
"
2,"the phone itself is pretty good, feels comfy in the hand and the bottons protrude and ""click"" so it gives nice tactile feedback, something missing from almost every phone on the markey. so you know what you're pressing at all times, almost no texting errors.however, two flaws, and one of them is major.1. how can a phone not have an input for an earbud? this is absolutely unacceptable, and i've never seen a phone in the last 6-7 years not have a simple ear bud jack, ridiculous! this is the sole reason i returned mine, as i do not care for bluetooth, i prefer simple corded earbuds as they are cheap to replace if lost.2. another pretty serious flaw is the battery. it is rated at 3 hours, but that is pushing it.overall this could have been a great phone, but two pretty stupid, unthinkable mistakes like not including a basic earbud jack ruins it.
"
2,"i am not satisfied with my phone bec i can't maximize the features and i cant open my web. i tried to use the cd that comes with it but the serial number on the phone doesnt match. its not registered yet bec of this serial #. the silicon case i received is wrong, you sent me the one for 650, my unit is 600. i'l apreciate if you send me the right one. thank you.
"
2,"this product alone does none of the things listed in the descrption by itself. you must still buy other software to use it. when i questioned them about why they listed it as doing all these things, which it doesn't do, they pointed out where it says ""may require 3rd party software for various uses"". i just didn't know that the definition of 'various' was all uses we have listed.i would rate my experience with this seller as: dissapointingat least let my misfortune be a warning to someone out there somewhere.
"
1,"i bought 6 of these shirts going by the photographs and some of the reviews. dont mean to be rude, but people who gave these shirts probably haven't wore a decent dress shirt. you can frequently get 'good' $45 shirt for $10 in malls when on sale. i thought this was a better deal. but boy oh boy, i can assure you this is not much better than what you might get at a dollar store. i had ordered these as a gift, but now will give them to red cross because these should not be worn at any kind of formal occassion, or even for daily use (except maybe when you are working at septic tanks or something). these are from bangladesh, and i can assure you, they are not much better than what would be sold for $0.50 in bgd. if you have any self-respect and work in anything but a lowest income group atmosphere, do not buy these shirts.
"
3,"pros: it does what it's supposed to - keeps drinks warm.cons: the warming surface is a little small, doesn't fit wider mugs. mine stopped working after a month, and i'm not sure why. it may not be spill proof, because i got some coffee on top... perhaps it shorted somehow?bottom line: ok, but might be a better one out there...
"
2,"i do not recommend this phone!!! the alarm sucks, its impossible to get service anywhere!!but what sucks most of all is that the buttons fall of and of course warranty does not cover this..part of the reason i purchased this phone was due to how sexy and streamlined i thought it looked compared to other phones at the time of purchase..but now that the buttons feel off, im stuck with a phone that looks like a like crap and functions horribly. do not invest money in this phone..
"
1,"i wore this shirt just once. it's almost transparent. not worth it even if you get it for free.
"
2,"this headset has a major flaw - the connections between the headset and phone are full of static. the other parties don't hear it, but their voice is constantly zapped by the static, and i'm asking them to repeat themselves. i've compared it with a couple other headsets i've got, and they don't have this problem in the same locations. actually, this headset has static problems anywhere - office, car, out walking, you name it.do yourself a favor and avoid this one.
"
1,"i put them on at the doctor's office and the first time i had to take them off, sure enough, ran them. otherwise, liked them very much.
"
2,"even though this is rated to hold up to 2000 lbs. i would not trust it to last very long. the nylon and ropes that this comes with are clearly very low quality. some of the ropes even showed signs of fraying straight out of box. cannot recommend this item.
"
1,"paid around 10 bucks for the shirt, but its not wort 10 bucks at all, cant wear to office cos the cloth is see thru. very thin cloth.
"
2,"i use my phone a lot and i have purchased an average of 1 standard phone battery per year because i talk them dead or forget to plug the phone in to charge the battery. this battery is awesome, i have found that thus far i cannot talk it dead and if i forget to plug in my phone the battery still has a charge.
"
2,"this story tops them all. i have dropped my palm tx over and over with the palm tx case. it's kind of banged up. the belt clip is kind of worn out. the springing thing won't hold it very well any more. the other day i got home from work and it was almost dark so i had to hurry and do some snowblowing. i heard a bump sound and didn't realize my palm fell off the belt clip. i ran over it with my snowblower and it came out the shoot and hit the wall. i didn't realize it until i dug it out of the snow two days later. the tx was gaping open and the stylus was broken in half. i snapped it closed and the tx still works fine! just had to get a new stylus. weird, because my first tx died on me with no bumping around and i got this replacement one under warranty.
"
2,"the bra is too &#34;molded&#34; for my taste. the cups are very thick and feel to the breast the way a helmet feels to a head. it does have a good basic design but i will be returning it because of the uncomfortable density of the cups.
"
1,"i have worn jobst compression hose for a few years now. i havenever had a problem. i was thrilled when i had the option fora sheer pair....great for summer. the third time i wore one pair,i got a hole in them. i am not even sure how that happened. i figuredi must have done something. i put on my backup pair and the first timei wore them i developed a hole in them...the same leg (right one). nowthat i see these posts i know i will never purchase them again.
"
2,"i had a jabra earset for my old nokia 5160 and it worked beautifully! i upgraded my phone to the 8260 and purchased the &quot;compatible&quot; jabra. the phone recognized that a headset was connected, but i could only hear extremely faint sound coming from the earpiece (yes, the volume was turned up all the way). went back to the store to try more of the same jabra units with no luck. i'm stuck with the nokia factory headset which sounds fine, but nobody can hear me talk...
"
2,"yep. motorola knows how to make an automobile power cord. has a convenient on off light that you'll never miss. it's big and bright.
"
2,"does not cut down on ambient noise, and makes my voice smaller on the phone. i found it clumsy to try and find earpiece and manage the wire. i think it would be better to have one of those boom-type microphones that gets closer to my mouth.
"
3,"this steamer set is not worth the price. i read the negative reviews and assumed people were just picky, but that is not the case. i have used this steamer 2-3 times per day since it arrived. the quality is very low; metal is thin and feels cheaply made. the lid cracks and pops as it heats up and cools down. the steamer is not small, but isn't as big as it looks in the picture. when i am steaming something, if i put the stove on high, water spits out from around the lid making a huge mess. i have to put the stove on medium-high, and set the lid on the edge to prevent it from spitting, which increases the cook time.if i could do it again, i would not purchase this item. i anticipate i will need to buy another steamer in 6 months or so and will spend a little more to get a better quality item.update 1/2013: i did get rid of this. after getting, as a wedding gift, a complete new set of pans, we bought another ""norpro 175 stainless steel vegetable steamer"" which fits inside your existing pans. nine dollars, and well worth it.
"
2,"very loose fit on the ear and hard to reconnect if you go out of range
"
2,"i bought the jabra earset for my nokia 5190 about a month ago. a friend of mine also bought the same earset and i was able to hear them talking on theirs (using nokia 6190). the receiver sound quality (talking) is slightly worse than a normal cellphone. it sounds somewhat distant and echoey. also, it picks up background noise, especially from a car and almost seems to amplify the noise, making it hard for people to hear you. the speaker (listening) for the user is very clear and i had no problems finding an earpiece adapter that fit me.problem: the biggest problem i've noted with these earsets is an annoying background &quot;buzz&quot;. i have been told that this is caused by the earpiece wire picking up reception from the cellphone antenna. this buzz can be heard both on your side and the person you are talking to can hear it as well, creating quite an annoyance. in fact, this background buzz is so bad at times that i have stopped using my jabra earset entirely unless i am driving (it is law in california). the only way to get rid of the buzz is to orient the wire in certain positions or hold the wire in certain places (very impractical, especially if you are moving around). i would return this item and buy something else except that i bought it using an amazon discount certificate, so i can't. i've been told that not all earsets have this problem so it is probably advisable that you if you get this you are able to return it or try it out first.
"
2,"the bag is unusable in the vacuum for which it is marketed. according to the written description and picture, this bag is made for this vacuum. it does not fit the attachment inside the vacuum and is completely unusable. it is a total waste of money.
"
3,"why do i keep forgetting about these type of ""sales""???thanks to all of the wonderful people - reviewers - who truly care about others.i'll pass on these.
"
3,"as other reviewers have stated, these curtain rods will not sustain much weight at all. they really aren't spring rods - you just twist it into place.i ordered 3 and they were so poorly packed that two of them were bent and completely unusable.i wouldn't bother with these, or buy them from country curtains because you can get an anchor so that they can hold more weight and be more stable. of course, their $30 each instead of $19!!!!
"
1,"this bra is completley worthless! it offers absolutely no support, is cheaply made and does not run according to size. don't waste a penny on this. you will be disappointed.
"
2,"this phone is horrible. i live in the middle of a big city and i dont get reception in my own house. people sound gargled and like their in a tunnel. the mirror on the front get scratched way to easily. i think the only thing cingular was thinking of when the made this phone was the size. it is the worst phone i have ever owned. dont buy it. its a waste of money. find a better phone that might be bigger, but at least u will be able to talk on it. :( i wish i could give it lower than a 1 as a rating. i would give it a -5.
"
2,"the headset is cheap. the kind you will find at a dollar store. the cell carrying case is also cheap and too tight, i could not use it. basically you are getting a car charger.
"
2,"i had this headset for 3 days. dropped it from waist level and now it doesn't work. i could have gotten better use out of $30 by purchasing a fairly decent bottle of wine...it would be gone too, but i would have had more enjoyment out of it. this unit is very small, and getting it into the ear is awkward, and is impossible to do without pressing one of the volume up/down buttons, which means you will have to re-adjust. if you have larger hands, like i do, it is a little odd to handle...hence, the greater possibility of it being dropped. the sound was mediocre at best, and everyone i spoke to (in the short 3 days that it did work) said there was an echo on their end. not recommended. move on to another.
"
2,"i could never get this to work correctly with either of my windows vista computers. i ended up getting a copy of 5.0 from some where else and it worked fine. couldn't up grade w/ this software to the new version, so a total waste of money.
"
1,"i have had these for a little over a year now. the edges are starting to chip off, and they have been stained a little. they are ok, but not wonderful. i feel like for a kitchen aid product, they should be much better.
"
2,"the product was very difficult to put on that i just gave up on it. couldn't return it because the orginal wrapping had been thrown away.
"
2,"i purchased this item to wear postpartum. i love how it fits and how well it smooths things out post baby. the major downside to this is the poor quality. the eye portion of about five of the hook/eye closures has come out entirely. i know that this is not a sizing issue because i followed the sizing for the product and it's only select ones that appear to not have been sewn as well as the rest. very disappointing for what would have otherwise been an awesome product that i could recommend to others, to instead be a waste of my money!
"
2,"i just got the newest version of the palm tx--and i'm not sure if they've changed the dimensions or anything--but this case does not close when i put my palm tx in it. that's right, it doesn't work with the new tx. there is a small piece of plastic that is supposed to keep the palm in the case, but this is preventing the case from closing because the palm is too large.fyi. i will probably keep the product and just break off the little piece of plastic. but just so you know, don't buy this hardcase if you're getting a new palm tx (with wi-fi and such).
"
1,"having read the previous reviewers' reports warning about how easily this product could develop runs, i was super careful and tried very much to make my expensive pair last. the first time i had this pantyhose on, i got a bad run that ruined this very expensive pair of hosiery! unbelievable!
"
2,"it appears that there are fans of roomba products however, irobot definitely got ahead of itself with the introduction of this model. the scheduler is a great feature although programming it is rather clumsy in its design. the intelli-bin feature does not live up to its name. it does not work. either irobot did not test it fully before release or it is plagued by manufacturing defects. to make matters worse, irobot's customer service is inexcusable. after several emails and lengthy waits on hold, i have yet to get a replacement or any kind of resolution. i'm given a different answer each time i contact them and i never hear back from them when promised. my advice is save your money and avoid the frustration. if you're still convinced you want one, wait until irobot fixes this model and gets its act together.
"
2,"this item arrived promptly and in good condition. my teenage son assembled it in a couple of hours before i arrived home from work, so i gather that it went together easily enough. the cart, being real wood, looks quite nice, but the legs, top, etc. are pieced together from multiple pieces of wood, which raises some questions in my mind about strength and long-term durability. if only it had lasted that long...after using the unit for less than a week, one of the casters disintegrated without warning (massive structural failure of the plastic housing) as i was pointing the cart in a different direction. we had a 27"" crt-based tv plus a dvd and vcr on the cart at the time, and luckily none of them fell off as the cart tipped sharply when the caster collapsed. altogether it was about 100 lbs. of gear, but the cart is large enough that it should be designed to accommodate a significantly larger tv than the one we had on it.comparing the casters on this cart with those on a smaller tv cart that we were replacing, i discovered that these were smaller and of lighter construction -- clearly undersized for this cart, which is a design flaw rather than a manufacturing problem. i drilled out the holes in the legs to accommodate the larger casters from the old cart (which we had used for a couple of years with the same tv/vcr/dvd setup), so i'm hopeful that if the legs themselves don't give way, we'll be able to get some use out of this unit after all.to summarize, i would recommend this unit only for light duty use with small tv's.
"
1,"it's definitely not having the cutting as shown on the model. i ordered size m as that's suggested on the the manufacturer's site for size 6. it's way too big. i exchanged it for size s. i have 36"" breast and 26"" waist and it's still way too big.the cutting is very bad as well. it's just a giant piece of flat cloth and they didn't have the shape for cups. thus once you tie up at the back, you will have a weird surplus of fabric underneath your boobs. very ill fitting.
"
2,"did not work at all. don't buy. i returned and got a discount. would not work with any station. junk
"
2,"my advice. purchase the cable and download the free software over the internet. like other reviewers i never got this software provided to work.
"
1,"this is the first time i've had anything negative to say about under armour,and my complain is not really about the product, but the company, as the 2 shirts i ordered was to be short sleeved, and they arrived as sleeveless,it was a birthday gift to my grandson, and he assured me it was ok. i went along with him, but when i received this letter asking if i would rate the transaction, i had to tell you.i will think twice before i order again, this was a plain and simple order, and you messed it up.if i had had time i would have returned them for the right kind, but they were delivered on the birthday so i gave the package to him as it arrived,ibg1105
"
1,"having read the previous reviewers' reports warning about how easily this product could develop runs, i was super careful and tried very much to make my expensive pair last. the first time i had this pantyhose on, i got a bad run that ruined this very expensive pair of hosiery! unbelievable!
"
2,"the battery worked fine, for a while. but within a month of purchase the connection plate quite literally split off from the battery and rendered it useless. granted i use two batteries (to allow complete discharge/recharge cycling) so they're pulled in and out of my phone often, but the original battery is still going strong and this one fell apart.truth be told i probably got my money's worth out of this battery and you probably will to, but don't expect that $5 to get you very far.
"
3,"i bought these at target too. yes, they are very big and take up a big space in the cupboard. the handles are terrible because there isn't really a handle on them. yes, the rubber footing keeps them in place- when you can keep the rubber gasket to stay on. but if you want to hang on to the bowl like to mix up a pie crust, i have other bowls with a great big handle that's so much easier to grab and hand on to while working the dough. and if you want to use a hand mixer with 2 beaters in these bowls, forget it, they're too curved at the bottom. my other set of mixing bowls have a flatter bottom so i can use the hand mixer. there's just too much wrong with these bowls to get much use out of them.
"
2,"the battery came and it was obviously not a new battery as advertised. if i paid more than a few bucks - i would send it back.
"
2,"the biggest downside to this keyboard isn't really the fault of the manufacturer; apple will not allow external keyboards to use auto-capitalize and auto-correction features. beyond that, however, there is only one shift key on the left side of the keyboard, making it impossible to capitalize half of the letters easily. also, the keyboard jiggles a bit when it slides back under the phone. i have tried to begin the process of returning mine, but customer service has not responded to my request nearly one week after i made it. bottom line: if you want a physical keyboard, you probably shouldn't have an iphone in the first place.
"
2,"i bought 5 different brands since i had my second baby 4 months ago, and i am finally happy! great product. does what it needs to do! will buy more.
"
3,"big waste of money! after washing noticed 1 pillow case was a different shade and so wrinkled no matter what i've tried. stuck with it since i washed and can't find packaging.
"
2,"i loved the idea of having all my shoes on a tree that i could spin around, but the end result was messy. it was weird having the soles of my shoes facing outwards. wherever i put the tree seemed like a dirty place. i replaced the tree with drop-front clear plastic shoe boxes that i love.
"
2,"this tip should be labeled differently. it is actually a mini-usb tip for the kensington charger. while it actually is for the blackberry it works for anything that uses a mini-usb. i wish they would have called it ""mini-usb tip"" to avoid the confusion i had prior to buying the thing. the price is crazy too. kinda pricey for just one tip but if you have the charger you know that the thing is getting harder to find. i use it to charge all of my mini-usb stuff and haven't had any problems.
"
3,"i was so dissapointed when i receive this saucepot. so smaller. i do not know what i can do with this steamer. you can only steam one egg each time. it does not worth this price.moreover, be careful of the handle. it will become very hot during cook.
"
2,"this is one very attractive coffee canister with just one problem. if you're chosing this because you no longer want your food and beverages exposed to plastic, you might want to stay away from this one. the inside area is made entirely of black plastic. however, if plastic isn't an issue for you, this could be your baby.i am disappointed that amazon's normally satisfactory product description process didn't work here. this listing misrepresents the item by failing to mention the non-stainless interior which is a significant fact to many consumers. i returned my canister with my explanation that the quality was not as represented. i don't believe that they should charge their customers for any shipping or restock fees when they don't describe items honestly. amazon rocks but this listing needs help!
"
1,"i bought a pair in maroon and they were a little short but fine. the problem was that they started coming apart at the seams after 2 months. will definitely be looking to a different company for a replacement pair.
"
2,"you can barely hear the music over the static. thought it might just be our car so we tried a couple friends' cars and it was the same. total waste of money.
"
2,"this product would be great if it were durable. over time, it started to sound like i was talking into a can. i could barely hear what the other party was saying. too bad - it was comfortable and worked well for three months.
"
2,"my experience with the explorer 330 has been mixed. on the positive side, under the best conditions the 330 has worked very well -- incoming and outgoing sound are far more clear than what i have been accustomed to with my blackberry 8830 cell phone.i have found, however, that the 330 performs poorly in several fairly common situations. first, background noise is a real problem. i have several times had callers hear nearby conversations more clearly than my voice, and car engine noise has sometimes drowned out speech. as another reviewer has already noted, the 330 is unusable in windy conditions.second, battery life has been much worse than expected. as the battery level falls, the 330 needs to be closer and closer to the phone; otherwise, the person on the other end of the line will hear an unacceptable level of static, although the bluetooth connection will remain intact. in general, i've found that after about two to four hours of talking time, the cell phone needs to be within an inch or two of the headset to function.third, the 330 has a small effective range from the phone to which it is paired. in general, to have acceptable sound quality, i have had to keep my cell phone in a shirt pocket rather than a pants pocket or on a table in the same room. again, this is closely linked to battery life; the 330's range is better if it is within its first thirty minutes after charging.all in all, this has been an adequate headset, but i have been frustrated by the number of situations in which it cannot be effectively used. in hindsight, i probably would not have made this purchase.
"
2,"i ordered this fan for a recent camping trip, and never got to use the fan. i had it set up at the foot of my inflatable mattress, and one of my kids tipped it over accidentally. the fan detached from it's base, and i wasn't going to perform surgery on it during my vacation. the light on it is pretty bright, and we did use it throughout the trip. i'm sure there are much better, more durable fans out there.
"
2,"this isn't even close to authentic or realistic. my 3-year-old said he'd rather use the cheap plastic hats the fire departments pass out than this. the hat's pvc plastic means soft formed and when the description says ""finished with soft red plush trim""--it's on the outside. as soon as we opened this, we knew it was going back.
"
2,"text message does not work, directions in a language i can't even identify, contact with ace photo, the vendor, was unproductive. not a good purchase experience at all.
"
2,"i had this phone for about 5 days before i wanted to toss it out the window. it rings when there is no call comming in and wont stop. i returned it to the store where i bought (t-mobile) it but because it had been 35 days instead of 30, they said they could not exchange it for a new one but would give me a &quot;previously used&quot; phone. after 5 replacements, i bought a nokia. the camera sucks, and the battery life and signal suck too.
"
3,"this company was bought out several years ago by a far east company. the quality is not the same; the warranty is worthless; the 18/10 gauge steel is not truly 18/10 guage and the handles are made of cheap plastic. if one takes the time to look at the positive reviews, most of them are from people who have the original sets manufactured ten to twenty years ago. the company no longer exists, and its successor makes cheap knockoffs of the original. do not waste your money
"
