department,review
Cell_Phones_Accessories,"this rubber case is made out of very poor quality rubber: it is thin and very fragile, rips like paper.my friend has rubber case on his berry, which feels totally different on touch, thicker and stronger. that rubber case is blah. do not recommend.
"
Cell_Phones_Accessories,"bought this as a second/spare battery for my work phone which is heavily used, and it helped a lot.battery arrived brand new and lasted for well over a year.
"
Clothing_Accessories,"i read a previous review that said hers got a run the first time she used them and i figured i'd just be more careful...mine got a run the second time i used them! unless you're desperate, don't bother. i expected better quality for the price i paid!
"
Clothing_Accessories,"merchant was out of stock on the second pair of pants, so when it was shipped i was charged $9 again when the second pair was in stock weeks later.will not buy from amazon vendors again.
"
Home_Kitchen,"i've had one house guest and one nanny place this kettle on my gas stove believing it's a standard kettle. the first time, i wrote cuisinart a letter, and they graciously sent me a new kettle. great customer service. the second time, i'm going with a less confusing design, the capresso glass electric kettle for a couple extra bucks. it's not worth burning my house down ; ).this design looks just like cusinart's other standard kettles. so if you have elderly parents, or people what are not familiar with recent developments in water boiling, you might want to consider a less confusing design. (p.s. the plastic base melts in seconds if it comes in contact with a heat source).
"
Clothing_Accessories,"if you search for super saver shipping this advertisement comes up, but this product is not shipped by amazon is does not go out with the super saver shipping, and the cost of shipping is nearly 20% the cost of the pants.
"
Cell_Phones_Accessories,"i was so excited when i got it it looked great but with in a couple of days the coating started coming off. then the two plastic peices that hold the top cover on broke. i was very disstaisfied with this product.
"
Clothing_Accessories,"the product worked fine on the first day and now it doesn't work as described on the advert. i've never been so sore (both side) in my entire life. i cannot wear it for more than 2h. other then the product itself, the delivery system was also misleading i choose a 5-8 days delivery when i placed the order but the product was delivered a month later. what made me even more annoyed was the fact that i had to pay for the post charges because apparently the sender didn't use correct stamp or pay the full charge. :@
"
Home_Kitchen,"i am a little disappointed in the quality of the stainless on this product. i have an older 1 oz. version of this and it is really nice. the stainless looks like it is about to get rusty at any time if i don't dry it immediately and thoroughly after every use. compared to my little one, the shine factor is just not even there. i regret not buying one of these about 15 years ago when i got my small one.
"
Cell_Phones_Accessories,"i ordered this phone from amazon on dec 12, and still havent received the phone (jan 26). amazon keeps delaying my order and their present shipping expectation is feb 27.thanks amazonadarsh adarsh
"
Clothing_Accessories,"this is the first time i've had anything negative to say about under armour,and my complain is not really about the product, but the company, as the 2 shirts i ordered was to be short sleeved, and they arrived as sleeveless,it was a birthday gift to my grandson, and he assured me it was ok. i went along with him, but when i received this letter asking if i would rate the transaction, i had to tell you.i will think twice before i order again, this was a plain and simple order, and you messed it up.if i had had time i would have returned them for the right kind, but they were delivered on the birthday so i gave the package to him as it arrived,ibg1105
"
Cell_Phones_Accessories,"the earpiece problems already noted are true. definitely not worth the price. worked for three months and then stopped. just over the warranty period. not recommended
"
Clothing_Accessories,"i purchased one of these shirts from sport check and paid $30 for it. it was comfortable and i had no problems with it until 1 day i noticed some white flakes on the front of it. when i tried to wipe them off i saw that it was the material that was flaking off in a perfect circle. the more i brushed the bigger the hole grew. now you can see through the center of my shirt like some nylon stockings, which looks pretty girly. for a $30 shirt i sure expected to get a lot more wear out of it.
"
Cell_Phones_Accessories,"it's cheap, eforcity delivers quickly, however, may not actually be oem. all of the oem chargers i've seen (model number syn0847) has glowing stylized ""m"" motorola logo. this item, however, does not; it only has a small blue led underneath the ""m"" that glows when it's plugged in. all of the other labeling on the charger looks authentic motorola. maybe a really good knockoff? anyway, does the job just fine (see title), and, again, it beats paying $20 at cingular.
"
Home_Kitchen,"i would advise any potential purchasers to avoid this product. mine worked once, and hasn't worked since. this is not a quality product.
"
Cell_Phones_Accessories,"bought two of these and it always breaks in the same place after several months of use, if not sooner. other reviewers have had the same experience. the problem lies with the plastic slide where you attach your palm. it is flimsy and not detailed properly re. interface with the metal case itself. it invariably breaks after several openings/closings, if not before. i had a rhino case before on another palm and it looks as if i will have to try that or a leather one again.
"
Cell_Phones_Accessories,"the case for this model looks great in the picture, but mine was scratched and looked bad after putting it on my phone. i originally wanted to preserve the stylish black of my new pearl, but this case did not do that for me. the clip on the back also broke after a few weeks time. also, dust will definitely get between the clip and your phone if keep it in your pocket.eforcecity offered to replace the product or provide me a refund if i changed the review, but this product was only a few bucks so i'd rather post an honest review of the product and deal with the faults of this product.this thing is still on my phone after 4 months, but only because i am prone to dropping it when i go out.spend money on a better case or a scratch resistant clear adhesive for the display of your phone (which i also purchased).
"
Home_Kitchen,"the product was delivered as promised in good shape and no damage,but,when it comes to keeping you cup of coffee hot,it doesnt. in fact, it barely keeps a steaming hot cup of coffee warm.not at all what i expected. if i had any idea of the poor performance of this product, i wound never have purchased it. please save your money!
"
Clothing_Accessories,"doesn't matter that you drive a gas-guzzlin' suv or live in a nice house that's paid for - paying for serious bandwidth can be painful. share your pain with other geeks, and confuse the riff-raff.
"
Clothing_Accessories,"having read the previous reviewers' reports warning about how easily this product could develop runs, i was super careful and tried very much to make my expensive pair last. the first time i had this pantyhose on, i got a bad run that ruined this very expensive pair of hosiery! unbelievable!
"
Cell_Phones_Accessories,"the replacement battery arrived on time but it did not fit easily into my motorola v557 phone like the original battery does. when i got it in, put the back on the phone, and connected the charger, the phone indicated that it could not charge the battery. i contacted bargaincell and they offered a refund if i return the battery prepaid. this seems reasonable except that the packaging and shipping cost about as much as the battery (only $1 less). i don't mind paying it once to get the battery but i'm not about to pay it again to return the battery.
"
Cell_Phones_Accessories,"unfortunately i have to buy a new bluetooth headset every couple of months or so because i lose them all the time. this one was no different because i lost it too, a few weeks ago, and replaced it with the samsung wep475 bluetooth headset which i like much better. quite honestly, i've had a few plantronics headsets in my time and i never really cared for any of them.
"
Home_Kitchen,"cheap, light weight, quite flexible, doesn't hold a sharp edge very well- but what do you expect from a cheap knife? i bought it because i liked the shape!use it, abuse it then throw it away or sell at your next ""i'll never do it again"" garage sale.
"
Cell_Phones_Accessories,"works fine for 3 days then breaksif you wear the phone all the time, go in and out of chairs and cars, or do anything physical this will break.
"
Home_Kitchen,"how is this thing awful? let me count the ways..first off, it took an unatural amount of time to get here. whatever, that happens.it feels super cheap. when you handle a good memory foam pillow, it feels heavy and cushy in your hands. this thing feels like a piece of hard styrofoam. it barely squishes at all and has no 'memory', it is simply a very dense foam pillow. it's not even really a pillow- it's so hard that i cant even use it for propping my back whilst reading.on top of that, their terrible return pollicies make it not worth returning.do not buy! just use the styrofoam your new computer came in.ugh.
"
Home_Kitchen,"looks nice. didn't cost much. the surface even gets hot to the touch. i just can't keep even a half a cup of coffee warm! don't waste your money.
"
Cell_Phones_Accessories,"i hated the fit of my jawbone 2.0. it would never stay in no matter which ear loop or ear bud i used. someone recommended these to me, so i thought i'd give them a try. after 2 months of using it, i'm pissed i didn't get them sooner. before chucking your jawbone 2.0, try these.
"
Home_Kitchen,"i purchased this item for my husband, who likes very hot coffee and tea, but it does not keep beverages warm as advertised. we tried it a few times and even when his mug went straight from the coffee pot to the warmer, it didn't keep it warm. too bad, so sad. i returned it.
"
Cell_Phones_Accessories,"this is the second one i have bought in 30 days from amazon ..... and the second one that doesnt work on arrival. i would think that i was maybe doing something wrong .... except for the fact that i had both of them on a wall charger for overnight and they were still indicating they were charging in the morning. very disappointed, as i find the plantronics to be the most comfortable fit for me. well, time to return this one and try for number 3.
"
Cell_Phones_Accessories,"the phone itself is pretty good, feels comfy in the hand and the bottons protrude and ""click"" so it gives nice tactile feedback, something missing from almost every phone on the markey. so you know what you're pressing at all times, almost no texting errors.however, two flaws, and one of them is major.1. how can a phone not have an input for an earbud? this is absolutely unacceptable, and i've never seen a phone in the last 6-7 years not have a simple ear bud jack, ridiculous! this is the sole reason i returned mine, as i do not care for bluetooth, i prefer simple corded earbuds as they are cheap to replace if lost.2. another pretty serious flaw is the battery. it is rated at 3 hours, but that is pushing it.overall this could have been a great phone, but two pretty stupid, unthinkable mistakes like not including a basic earbud jack ruins it.
"
Cell_Phones_Accessories,"it would be a good phone if you didn't have to charge it every other day.
"
Clothing_Accessories,"merchant was out of stock on the second pair of pants, so when it was shipped i was charged $9 again when the second pair was in stock weeks later.will not buy from amazon vendors again.
"
Cell_Phones_Accessories,"the material this is made of just does not hold up when thrown in a purse all the time. the material frays all over the place and looked tacky within a month or two. i did not contact the manufacturer (i guess i should have) and just threw it in a bag for goodwill. i would not recommend this for others!
"
Home_Kitchen,"this clock looks pretty cool but the quality needs to be improved. it's absolutely not worth of $$.i bought one with an ac adapter last year which cost me $$ more. i like the lcd to constantly show the time at night so i didn't care the extra $$.it took a long time to receive the radio signal from coloroda. but it was pretty easy setting the calendar, date, day, time and alarm. i was very happy about it until this february. the lcd suddenly went partially blank. i wouldn't even guess what time it was showing. i thought the batteries ran out so i replaced with a new pair. yet it still couldn't display the time properly and the lcd turned totally blank in a day.
"
Cell_Phones_Accessories,"i had this phone for about 5 days before i wanted to toss it out the window. it rings when there is no call comming in and wont stop. i returned it to the store where i bought (t-mobile) it but because it had been 35 days instead of 30, they said they could not exchange it for a new one but would give me a &quot;previously used&quot; phone. after 5 replacements, i bought a nokia. the camera sucks, and the battery life and signal suck too.
"
Home_Kitchen,"i purchased this hoping it would eliminate the need to run to the microwave to heat up my coffee... but, it hasn't done the job for me. i've only used it a few times and each time, it made my coffee taste funky. and, trust me - it's not the coffee. i've used the same coffee and coffee maker for at least 2 years.it's obviously worked for many that purchased it - so that's great. but, it has not met my expectations.the good thing is that it was only $10. i will end up donating it in hopes someone else will be happy with it.sorry, mr. coffee. i don't like giving less than stellar reviews, but had to this time...
"
Cell_Phones_Accessories,"nice case but hinge is weak, breaks eaisly. i really like the case otherwise. there is open areas for the plug in. it is much better then the palm brand.
"
Cell_Phones_Accessories,"very poor performance. original lasted only 1 yr 4 mos. with light duty. digital standby is ok, but talking and roaming suck down the battery fast. gets very warm while talking. that's probably the phone's problem, not the battery though.
"
Clothing_Accessories,"i have worn these pants for years; my size is the same as always. i couldn't get them on; they were so tight i couldn't get the button buttoned around the waist. what is going on? these pants seemed to be cut for a skinny 25 year old, not someone who is a little on the hefty side. further, the shipping and handling charges are just out of sight...$16.95 above and beyond the already rather pricy product. i would not recommend doing business with this seller at all. you can go to other outlets and get the same thing without the shipping and handling, and there are ""deals"" out there from major store chains. i was really disappointed in this product and the seller. go to walmart and get their khakis; they are very inexpensive and wear like iron.
"
Home_Kitchen,"this is a good chart with good design. but one major problem....the chart is printed on three boards. however, with the fabrics in between the boards, the measurements end up being off!!! so your child will be measured a fraciton of an inch short! i am going to try to return it. if not, then i will need to tape the boards closer together.
"
Cell_Phones_Accessories,"i got this exact same case on ebay, for about 90% less. and the one on ebay was even constructed better. the cut-outs were all in line. i figured since this one cost more, the material would be 'better'? ""false"" i ordered two of these from the same seller. two different colors, and the materials, and the cutouts did not match. save your money, go to ebay, and get a better much cheaper case than what is listed here. i have already emailed for an rma on both cases.
"
Cell_Phones_Accessories,"this device worked for less than a week, then the power began phasing inexplicably and the device no longer functions.
"
Home_Kitchen,"they are good but it's not a set of 8 just 4! so i was dissapointed because wanted to use all 8 and because of the price (twice more expensive that it seemed).
"
Home_Kitchen,"umbra coretto 24 to 36-inch decorative tension rod, blackthe rod is really good looking. however, because it is so thin, the weight of my shower curtain keeps causing the rod to come loose. if i had any idea, i probably would not have bought the rod. however, my shower is at the wider end....so maybe a person would have better luck if their shower is closer to 24"".
"
Home_Kitchen,"we purchased this microwave in october for $300 minus the $50 rebate. panasonic denied our first rebate submission, claiming we'd bought the wrong item. a phone call cleared up the misunderstanding and apparently our rebate is on its way. however, i've since been told that rebate problems and denials are a common occurrence with panasonic.the microwave has a nice appearance and functions well. however, there is a significant design flaw. you cannot use the hood light as a nightlight or even keep it on for very long without heating up the inside of the microwave to the point where the internal fan comes on and the microwave will not turn on to cook. after the oven cools down, it seems to function normally. the first time this happened, the inside of the oven was so hot i thought it was a short circuit. for that reason, i do not recommend buying this appliance. i wonder if this is why the price has dropped dramatically...
"
Clothing_Accessories,"this review is for the sunglass eyeglass repair kit 77pc deluxe sold by: jckringlesi needed some small screws to fix some glasses. i did not expect much to about $8, but i did not think i would get such cr*p. most of the screws had no slot on the end. this means that there is no way to tighten them. they had inserted a note in the kit""screws w/out slots fit into round end of screwdriver and tighten with friction"".no! no! no! it just does not work. first of all, there is no round end of the screwdriver. 2nd, even if there was, there is just no way you could hope to hold down a completely smooth and rounded end of a very little screw, so it could be tightened. to be fair, some of the screws did have slots, but the longer ones did not. the long ones were the only ones that i needed, so this purchase was a complete waste of time & $. i would never order anything else from this store. if they would sell this, then you can not trust them. they obviously got an order of screws that were defective & are trying to get rid of them. just think about it. no one wants little screws ( or orders them that way) with no slots.eyeglass repair kit - 1 kit
"
Clothing_Accessories,"i did not get the slack that had the waistband. i got slack with no waistband, so i send them back an was trying to ge a 42 29 but i received a e mail stateting that the product was no longer avability. so far i'am not sure were my refund went. please let me know.tom atkinson
"
Home_Kitchen,"ordered on september 24, 2005 -- delivery now estimated by amazon ""sometime"" after december 24, 2005. three months (or more) for delivery seems excessive. amazon should be ashamed for treating customers this way.
"
Clothing_Accessories,"i ordered my size based on the sizing provided. i am able to hook on the first set of hooks. it does provide the curves i was looking for, but i never forget that i have it on. the area below the waist was flipping up the first week that i wore it as i do deskwork all day; lately it hasn't but i don't know if that is due to additional weight loss or the fact that i was wearing clothes that did not allow it to do so! after wearing for several hours, i do experience a little soreness where the stays are pressing against my ribs. the lines of the squeem will show under a close fitting garment if your are near the upper limits of your size; and if someone is holding you, i believe they would be able to feel the support structure.
"
Cell_Phones_Accessories,"i'm in the middle of my pregnancy, so i really need a car charger!amazon's description said this model was compatible with my nokia6102 flip cell phone, but it isn't it has the standard regular size tip for charging, which would work with most nokia cell phones prior to the nokia 6102 flip phone! the nokia 6102 flip cell phone has a new smaller charger end, so with all due respect might i suggest that someone grab a nokia 6102 flip cell phone, and the above car charger to see that they are ""not"" compatible, to help prevent this in the future! because i am still pregnant and i still need a car charger, for my nokia 6102 cell phone!i due honestly appreciate the fact that amazon at least paid for the return shipping, since the charger wasn't compatible!
"
Cell_Phones_Accessories,"bought a cell phone battery that, of course, died one week past their return/refund deadline. refused to refund or replace even though the product is clearly defective. this company is a ripoff and will never do business with them again. consider yourself warned.
"
Home_Kitchen,"the mr. coffee mug warmer truely is a mug warmer. i use it daily. my mug is warm, but my beverage isn't.
"
Cell_Phones_Accessories,"the plastic is too thin. too fragile and not sturdy. left the phone in the bag and the case was cracked without being crushed or thrown around.
"
Cell_Phones_Accessories,"this phone is horrible. i live in the middle of a big city and i dont get reception in my own house. people sound gargled and like their in a tunnel. the mirror on the front get scratched way to easily. i think the only thing cingular was thinking of when the made this phone was the size. it is the worst phone i have ever owned. dont buy it. its a waste of money. find a better phone that might be bigger, but at least u will be able to talk on it. :( i wish i could give it lower than a 1 as a rating. i would give it a -5.
"
Cell_Phones_Accessories,"this case is unbelievably poorly designed. the leather covering the belt clip started coming apart almost immediately, and the rivets connecting it to the case ripped out within weeks.if you're looking for a ""disposable"" case that you plan to replace every month or two, this isn't necessarily a bad value for the price. the phone does fit it nicely, even with the extended battery installed. but if you want something that will last, this is definitely not the product to buy.
"
Clothing_Accessories,"i ordered these tights on dec. 17. i waited, and waited and waited. they were a christmas gift for my sister. it took a full month -- until jan. 12 -- for an email from the company. they mysteriously canceled my order. thanks, guys! guess there's always next christmas.
"
Cell_Phones_Accessories,"i liked mine at first but it didn't hold up. i've had mine about a month and it's falling apart. it's too bad because i really liked it.as far as the comments from others regarding the phone freezing on when it's open it's the 2 bottons (contacts and message). i found that if you trim the plastic around those bottons that fixes that issue.
"
Cell_Phones_Accessories,"the nokia 900 mah nimn extended vibrating battery is anything but extended unless you are counting the time you will have it in a charger trying to keep it charged. i have had mine 41 days and am already having trouble keeping it charged. my phone is on about 10 hours per day with minimal talk time, usually less than 30 mins. per day.
"
Clothing_Accessories,"usually a size xs to s but this girdle's small did not fit true to size. had to return back to amazon.
"
Cell_Phones_Accessories,"this battery is recycled from the used cell phone. the power can not be hold even for one day.
"
Cell_Phones_Accessories,"these work to charge your phone, but the casing around part that plugs into the phone is slightly wide, causing the plug to fall out of the phone easily. this is especially aggravating with the car charger. i think it's worth the money to get the better fitting items from samsung.also - why does samsung change the plug in each phone model? the blackjack 1 and blackjack 2 do not use interchangeable plugs and my wife's samsung flipphone uses a completely different connection. are they trying to make money on peripherals and chargers?
"
Home_Kitchen,"i did not like this item or how it worked. i guess it just isn't whati wanted. it did not work like i thought it would. attachment would notfit snuggly into vacuum hose. was hard to insert between blinds and did notclean as well as i wanted. they were really dirty but i ended up using anotherproduct.
"
Clothing_Accessories,"this isn't even close to authentic or realistic. my 3-year-old said he'd rather use the cheap plastic hats the fire departments pass out than this. the hat's pvc plastic means soft formed and when the description says ""finished with soft red plush trim""--it's on the outside. as soon as we opened this, we knew it was going back.
"
Home_Kitchen,"i don't know if i'm the only one that experienced this problem but i ordered the blue floral paisley set and got some ugly checkered blue design. looks like a little kids room sheet. i emailed amazon and they resend another sheet set that looks exactly the same as the wrong one i received before! i'm giving the item poor ratings because amazon gives you something that's not even shown on the screen (nor in any of the other options that are even sold out). i'm not even sure what they're shipping out, but it's not what's described on the page. if you have this problem, please email amazon, so i'm not the only one with this complaint. thanks.
"
Clothing_Accessories,"but the lord said to samuel, ""do not look at his appearance or at his physical stature, because i have refused him. for the lord does not see as man sees; for man looks at the outward appearance, but the lord looks at the heart.""1 samuel 16:7this is the verse i read this morning before getting the squeem delivered. i'm so glad god's truth was fresh in my mind. because once i put the squeem on i was light headed & got instant acid reflux. it made me realize that the worlds opinion of me doesn't matter, epecially in light of god's truth.origionally i thought i could wear the squeem to help pull my abs together during exercise. it became clear to me that this device was not intended to be worn during exercise. it's for looks only. personally, if looking ""good"" according to someone's superficial standard was the goal, score. but what is the price we are willing to pay to deceptively impress others? is this really worth it? why?if i want to impress others i will not be worried how my stomach looks in my clothes. i will be looking to help others, to be kind or to share an encouraging word. ladies & gents if you truly and honestly want to impress others, take your eyes off yourself. the reality is that no one is really thinking about how you look in a tight shirt anyways, they are too busy thinking about themselves. beauty comes from within. smile, laugh and be joyful. that is true beauty.
"
Cell_Phones_Accessories,"`when i first bought this item, it worked great, but over time it became harder and harder to hear. several others i have spoken to have had similar results which is sad because it would be a great product if it were more durable.
"
Home_Kitchen,"this steamer set is not worth the price. i read the negative reviews and assumed people were just picky, but that is not the case. i have used this steamer 2-3 times per day since it arrived. the quality is very low; metal is thin and feels cheaply made. the lid cracks and pops as it heats up and cools down. the steamer is not small, but isn't as big as it looks in the picture. when i am steaming something, if i put the stove on high, water spits out from around the lid making a huge mess. i have to put the stove on medium-high, and set the lid on the edge to prevent it from spitting, which increases the cook time.if i could do it again, i would not purchase this item. i anticipate i will need to buy another steamer in 6 months or so and will spend a little more to get a better quality item.update 1/2013: i did get rid of this. after getting, as a wedding gift, a complete new set of pans, we bought another ""norpro 175 stainless steel vegetable steamer"" which fits inside your existing pans. nine dollars, and well worth it.
"
Clothing_Accessories,"this would be great if it had boning in it. i am not sure if this os because i have a very pronounced hour glass figure, but when i put it on, the fabric slides the the waist and it has the same effect as if i had a rubber band aroun my waist, forming a bulge above and below my waist. too bad- i had hoped this would work based on reviews.
"
Cell_Phones_Accessories,"i have been using the jabra freespeak bt250 for almost a year now. it is pretty good. the only issue i have with it is sometimes it does not speak well to my cell phone if my phone is in my shirt pocket (left side) and the jabra is on the right ear.recently, i lost the ear piece so i purchased the motorola hs810 to try it out as the cingular store guy recommended it. i tried using the motorola hs810 for about one week and found everyone telling me my calls were full of static and that they could not hear me.so i ordered another jabra bt250 and am again very happy! wish i could return the motorola ...michael zyda
"
Cell_Phones_Accessories,"this is my second logitech set. my 1st was a mobile freedom which its ear loop broke after 6 months. logitech replaced it with this one 12/06. now 2 weeks prior to one year the ear loop snapped off of this one. poor design which outweighs the otherwise very reasonable functionality of the device.called logitech and they are refunding my money, which is ok as i do not want another one!
"
Clothing_Accessories,"i ordered this item for support being that i have a rather large chest. the item had much more coverage than the picture lets on and came in the size i ordered according to the tag but once i had it on i realised it was 3 sizes too small. when i returned it to the sender the refunded only half my money. this item was ordered with one more bra like it and out of my $40 order i got just over $20 back. i plan on disputing this with amazon and the seller.
"
